2024-12-01 12:53:15.024708820 [I:onnxruntime:, inference_session.cc:583 TraceSessionOptions] Session Options {  execution_mode:0 execution_order:DEFAULT enable_profiling:0 optimized_model_filepath:"" enable_mem_pattern:1 enable_mem_reuse:1 enable_cpu_mem_arena:1 profile_file_prefix:onnxruntime_profile_ session_logid: session_log_severity_level:1 session_log_verbosity_level:0 max_num_graph_transformation_steps:10 graph_optimization_level:3 intra_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } inter_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } use_per_session_threads:1 thread_pool_allow_spinning:1 use_deterministic_compute:0 config_options: {  } }
2024-12-01 12:53:15.278358298 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8141'. It is no longer used by any node.
2024-12-01 12:53:15.278364063 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9912'. It is no longer used by any node.
2024-12-01 12:53:15.278369094 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8087'. It is no longer used by any node.
2024-12-01 12:53:15.278374401 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9902'. It is no longer used by any node.
2024-12-01 12:53:15.278379464 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8057'. It is no longer used by any node.
2024-12-01 12:53:15.278384752 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9901'. It is no longer used by any node.
2024-12-01 12:53:15.278390541 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9882'. It is no longer used by any node.
2024-12-01 12:53:15.278395852 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9877'. It is no longer used by any node.
2024-12-01 12:53:15.278400988 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9876'. It is no longer used by any node.
2024-12-01 12:53:15.278407133 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7929'. It is no longer used by any node.
2024-12-01 12:53:15.278413066 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9851'. It is no longer used by any node.
2024-12-01 12:53:15.278418440 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9992'. It is no longer used by any node.
2024-12-01 12:53:15.278428225 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7899'. It is no longer used by any node.
